iter	RMSE
0	1672.45623
1	1622.367228
2	1575.983571
3	1535.899419
4	1498.711632
5	1462.785764
6	1428.864004
7	1397.226869
8	1370.425523
9	1345.353415
10	1321.882797
11	1301.02225
12	1281.589661
13	1264.496708
14	1247.721692
15	1233.105073
16	1220.041478
17	1207.350447
18	1195.622612
19	1184.673602
20	1174.758391
21	1165.843513
22	1157.682506
23	1150.419018
24	1143.764458
25	1137.662509
26	1131.896384
27	1127.108493
28	1122.210027
29	1118.170692
30	1114.425867
31	1111.095882
32	1107.917147
33	1105.408077
34	1102.51583
35	1100.103079
36	1097.704917
37	1095.856823
38	1094.043106
39	1092.438027
40	1090.565517
41	1089.064129
42	1087.652161
43	1086.727044
44	1085.624241
45	1084.570468
46	1083.856497
47	1082.988725
48	1082.000626
49	1081.315072
50	1080.44166
51	1079.420749
52	1078.289415
53	1077.461214
54	1076.685146
55	1076.199077
56	1075.609881
57	1074.900874
58	1074.398112
59	1073.663545
60	1073.266784
61	1072.671027
62	1071.574479
63	1071.268503
64	1070.932496
65	1070.240792
66	1069.540069
67	1069.054672
68	1068.75766
69	1068.429916
70	1067.959546
71	1067.598123
72	1067.281447
73	1067.004615
74	1066.38567
75	1066.01529
76	1065.697449
77	1065.249237
78	1064.690088
79	1064.44973
80	1064.121786
81	1063.774646
82	1063.259609
83	1063.03439
84	1062.504138
85	1061.940711
86	1061.572429
87	1060.970077
88	1060.482128
89	1060.137721
90	1060.004731
91	1059.562536
92	1059.019941
93	1058.213507
94	1057.876482
95	1057.599513
96	1057.428922
97	1057.071231
98	1056.869571
99	1056.542838
100	1056.230038
101	1055.810303
102	1055.512232
103	1055.040117
104	1054.864008
105	1054.500807
106	1054.061064
107	1053.632741
108	1053.535802
109	1052.915425
110	1052.666075
111	1052.182246
112	1051.835719
113	1051.356507
114	1051.130948
115	1050.986632
116	1050.618202
117	1050.410537
118	1049.786584
119	1049.277073
120	1049.14261
121	1048.76175
122	1048.357397
123	1047.878452
124	1047.520429
125	1047.380589
126	1047.05843
127	1046.92799
128	1046.317267
129	1046.108647
130	1045.977028
131	1045.615289
132	1045.384607
133	1044.925782
134	1044.77074
135	1044.294682
136	1043.688388
137	1043.403164
138	1043.068114
139	1042.604617
140	1042.337187
141	1042.266047
142	1041.818833
143	1041.347035
144	1040.97926
145	1040.657067
146	1039.98094
147	1039.387466
148	1038.98078
149	1038.564566
150	1038.25101
151	1038.116885
152	1037.720938
153	1037.384331
154	1036.864339
155	1036.438194
156	1036.251419
157	1036.043065
158	1035.619306
159	1035.342801
160	1034.867129
161	1034.463736
162	1033.974099
163	1033.674675
164	1033.427243
165	1033.005938
166	1032.600205
167	1032.25668
168	1031.880856
169	1031.503575
170	1031.303986
171	1030.836399
172	1030.60916
173	1030.350093
174	1029.91427
175	1029.679687
176	1029.466582
177	1028.861068
178	1028.54061
179	1028.088115
180	1027.791914
181	1027.384027
182	1027.135061
183	1026.813702
184	1026.642669
185	1026.442973
186	1026.240157
187	1025.839892
188	1025.661383
189	1025.224357
190	1024.68201
191	1024.210012
192	1023.760352
193	1023.446729
194	1022.964949
195	1022.463198
196	1022.202758
197	1021.642844
198	1021.249235
199	1020.957535
200	1020.63846
201	1020.376487
202	1019.961134
203	1019.639366
204	1019.381458
205	1019.209342
206	1018.849249
207	1018.365869
208	1018.066908
209	1017.760225
210	1017.468654
211	1017.199129
212	1016.945601
213	1016.576872
214	1016.299296
215	1016.019777
216	1015.758123
217	1015.40551
218	1015.112632
219	1014.921911
220	1014.436623
221	1014.275167
222	1014.031471
223	1013.864904
224	1013.592601
225	1013.435893
226	1012.638224
227	1012.382041
228	1012.176494
229	1011.989824
230	1011.52769
231	1011.225424
232	1011.006458
233	1010.515297
234	1010.304787
235	1010.109642
236	1009.668243
237	1009.280647
238	1008.870112
239	1008.546582
240	1008.306222
241	1007.841705
242	1007.545534
243	1007.095945
244	1006.521302
245	1006.247918
246	1005.998955
247	1005.579872
248	1005.042182
249	1004.82008
250	1004.39331
251	1004.076622
252	1003.628492
253	1003.337542
254	1003.199377
255	1002.994519
256	1002.792803
257	1002.456633
258	1002.058948
259	1001.6578
260	1001.367205
261	1000.909782
262	1000.569888
263	1000.322466
264	999.9853583
265	999.575287
266	999.355886
267	999.1634852
268	998.9126976
269	998.7082409
270	998.5410898
271	998.2206136
272	997.9997686
273	997.8047753
274	997.5104815
275	997.279558
276	997.1065978
277	996.7659409
278	996.683223
279	996.246155
280	996.0332472
281	995.8740333
282	995.7152829
283	995.3700451
284	995.2251192
285	995.0818861
286	994.7313457
287	994.2873697
288	994.2004009
289	993.8365259
290	993.3564675
291	993.0079218
292	992.7680684
293	992.4954582
294	992.0912845
295	991.7026463
296	991.3802669
297	990.9902084
298	990.9125507
299	990.7574363
300	990.4631399
301	990.2472313
302	989.8850458
303	989.5335999
304	989.3130414
305	989.0084763
306	988.4659106
307	987.874787
308	987.6589547
309	987.4447752
310	987.1805752
311	986.8276916
312	986.6348624
313	986.326802
314	986.0326276
315	985.8502107
316	985.469814
317	985.1082414
318	985.0278944
319	984.8229148
320	984.4080097
321	984.293335
322	984.0154068
323	983.7982939
324	983.6477327
325	983.4390245
326	983.0231362
327	982.6386396
328	982.3674466
329	982.036453
330	981.8833647
331	981.5439224
332	981.4569647
333	981.2026832
334	980.6306051
335	980.3925867
336	980.1186436
337	979.9688816
338	979.4457521
339	979.1214005
340	978.9018676
341	978.6955914
342	978.26567
343	978.1099652
344	977.9063371
345	977.6840549
346	977.3541797
347	977.1507093
348	976.9247334
349	976.5077077
350	976.255475
351	975.9141231
352	975.7432086
